[2025-11-20 17:28:43] minutos=60; filiais=all; count=0
[2025-11-20 17:28:46] minutos=60; filiais=all; count=0
[2025-11-20 17:28:49] minutos=60; filiais=all; count=0
[2025-11-20 17:28:52] minutos=60; filiais=all; count=0
[2025-11-20 17:28:55] minutos=60; filiais=all; count=0
[2025-11-20 17:28:58] minutos=60; filiais=all; count=0
[2025-11-20 17:29:01] minutos=60; filiais=all; count=0
[2025-11-20 17:29:04] minutos=60; filiais=all; count=0
[2025-11-20 17:29:07] minutos=60; filiais=all; count=0
[2025-11-20 17:29:10] minutos=60; filiais=all; count=0
[2025-11-20 17:29:13] minutos=60; filiais=all; count=0
[2025-11-20 17:29:16] minutos=60; filiais=all; count=0
[2025-11-20 17:29:19] minutos=60; filiais=all; count=0
[2025-11-20 17:29:22] minutos=60; filiais=all; count=0
[2025-11-20 17:29:25] minutos=60; filiais=all; count=0
[2025-11-20 17:29:28] minutos=60; filiais=all; count=0
[2025-11-20 17:29:31] minutos=60; filiais=all; count=0
[2025-11-20 17:29:34] minutos=60; filiais=all; count=0
[2025-11-20 17:29:37] minutos=60; filiais=all; count=0
[2025-11-20 17:29:40] minutos=60; filiais=all; count=0
[2025-11-20 17:29:43] minutos=60; filiais=all; count=0
[2025-11-20 17:29:46] minutos=60; filiais=all; count=0
[2025-11-20 17:29:49] minutos=60; filiais=all; count=0
[2025-11-20 17:29:52] minutos=60; filiais=all; count=0
[2025-11-20 17:29:55] minutos=60; filiais=all; count=0
[2025-11-20 17:29:58] minutos=60; filiais=all; count=0
[2025-11-20 17:30:01] minutos=60; filiais=all; count=0
[2025-11-20 17:30:04] minutos=60; filiais=all; count=0
[2025-11-20 17:30:07] minutos=60; filiais=all; count=0
[2025-11-20 17:30:10] minutos=60; filiais=all; count=0
[2025-11-20 17:30:13] minutos=60; filiais=all; count=0
[2025-11-20 17:30:16] minutos=60; filiais=all; count=0
[2025-11-20 17:30:19] minutos=60; filiais=all; count=0
[2025-11-20 17:30:22] minutos=60; filiais=all; count=0
[2025-11-20 17:30:25] minutos=60; filiais=all; count=0
[2025-11-20 17:30:28] minutos=60; filiais=all; count=0
[2025-11-20 17:30:31] minutos=60; filiais=all; count=0
[2025-11-20 17:30:34] minutos=60; filiais=all; count=0
[2025-11-20 17:30:37] minutos=60; filiais=all; count=0
[2025-11-20 17:30:40] minutos=60; filiais=all; count=0
[2025-11-20 17:30:43] minutos=60; filiais=all; count=0
[2025-11-20 17:30:46] minutos=60; filiais=all; count=0
[2025-11-20 17:30:49] minutos=60; filiais=all; count=0
[2025-11-20 17:30:52] minutos=60; filiais=all; count=0
[2025-11-20 17:30:55] minutos=60; filiais=all; count=0
[2025-11-20 17:30:58] minutos=60; filiais=all; count=0
[2025-11-20 17:31:01] minutos=60; filiais=all; count=0
[2025-11-20 17:31:04] minutos=60; filiais=all; count=0
[2025-11-20 17:31:07] minutos=60; filiais=all; count=0
[2025-11-20 17:31:10] minutos=60; filiais=all; count=0
[2025-11-20 17:31:13] minutos=60; filiais=all; count=0
[2025-11-20 17:31:16] minutos=60; filiais=all; count=0
[2025-11-20 17:31:19] minutos=60; filiais=all; count=0
[2025-11-20 17:31:22] minutos=60; filiais=all; count=0
[2025-11-20 17:31:25] minutos=60; filiais=all; count=0
[2025-11-20 17:31:28] minutos=60; filiais=all; count=0
[2025-11-20 17:31:31] minutos=60; filiais=all; count=0
[2025-11-20 17:31:34] minutos=60; filiais=all; count=0
[2025-11-20 17:31:37] minutos=60; filiais=all; count=0
[2025-11-20 17:31:40] minutos=60; filiais=all; count=0
[2025-11-20 17:31:43] minutos=60; filiais=all; count=0
[2025-11-20 17:31:46] minutos=60; filiais=all; count=0
[2025-11-20 17:31:50] minutos=60; filiais=all; count=0
[2025-11-20 17:31:52] minutos=60; filiais=all; count=0
[2025-11-20 17:31:56] minutos=60; filiais=all; count=0
[2025-11-20 17:31:59] minutos=60; filiais=all; count=0
[2025-11-20 17:32:02] minutos=60; filiais=all; count=0
[2025-11-20 17:32:05] minutos=60; filiais=all; count=0
[2025-11-20 17:32:08] minutos=60; filiais=all; count=0
[2025-11-20 17:32:11] minutos=60; filiais=all; count=0
[2025-11-20 17:32:14] minutos=60; filiais=all; count=0
[2025-11-20 17:32:17] minutos=60; filiais=all; count=0
[2025-11-20 17:32:20] minutos=60; filiais=all; count=0
[2025-11-20 17:32:23] minutos=60; filiais=all; count=0
[2025-11-20 17:32:26] minutos=60; filiais=all; count=0
[2025-11-20 17:32:29] minutos=60; filiais=all; count=0
[2025-11-20 17:32:32] minutos=60; filiais=all; count=0
[2025-11-20 17:32:35] minutos=60; filiais=all; count=0
[2025-11-20 17:32:38] minutos=60; filiais=all; count=0
[2025-11-20 17:32:41] minutos=60; filiais=all; count=0
[2025-11-20 17:32:44] minutos=60; filiais=all; count=0
[2025-11-20 17:32:47] minutos=60; filiais=all; count=0
[2025-11-20 17:32:50] minutos=60; filiais=all; count=0
[2025-11-20 17:32:53] minutos=60; filiais=all; count=0
[2025-11-20 17:32:56] minutos=60; filiais=all; count=0
[2025-11-20 17:32:59] minutos=60; filiais=all; count=0
[2025-11-20 17:33:02] minutos=60; filiais=all; count=0
[2025-11-20 17:33:05] minutos=60; filiais=all; count=0
[2025-11-20 17:33:08] minutos=60; filiais=all; count=0
[2025-11-20 17:33:11] minutos=60; filiais=all; count=0
[2025-11-20 17:33:14] minutos=60; filiais=all; count=0
[2025-11-20 17:33:17] minutos=60; filiais=all; count=0
[2025-11-20 17:33:20] minutos=60; filiais=all; count=0
[2025-11-20 17:33:23] minutos=60; filiais=all; count=0
[2025-11-20 17:33:26] minutos=60; filiais=all; count=0
[2025-11-20 17:33:29] minutos=60; filiais=all; count=0
[2025-11-20 17:33:32] minutos=60; filiais=all; count=0
[2025-11-20 17:33:35] minutos=60; filiais=all; count=0
[2025-11-20 17:33:38] minutos=60; filiais=all; count=0
[2025-11-20 17:33:41] minutos=60; filiais=all; count=0
[2025-11-20 17:33:44] minutos=60; filiais=all; count=0
[2025-11-20 17:33:47] minutos=60; filiais=all; count=0
[2025-11-20 17:33:50] minutos=60; filiais=all; count=0
[2025-11-20 17:33:53] minutos=60; filiais=all; count=0
[2025-11-20 17:33:56] minutos=60; filiais=all; count=0
[2025-11-20 17:33:59] minutos=60; filiais=all; count=0
[2025-11-20 17:34:02] minutos=60; filiais=all; count=0
[2025-11-20 17:34:05] minutos=60; filiais=all; count=0
[2025-11-20 17:34:08] minutos=60; filiais=all; count=0
[2025-11-20 17:34:11] minutos=60; filiais=all; count=0
[2025-11-20 17:34:14] minutos=60; filiais=all; count=0
[2025-11-20 17:34:17] minutos=60; filiais=all; count=0
[2025-11-20 17:34:20] minutos=60; filiais=all; count=0
[2025-11-20 17:34:23] minutos=60; filiais=all; count=0
[2025-11-20 17:34:26] minutos=60; filiais=all; count=0
[2025-11-20 17:34:29] minutos=60; filiais=all; count=0
[2025-11-20 17:34:32] minutos=60; filiais=all; count=0
[2025-11-20 17:34:35] minutos=60; filiais=all; count=0
[2025-11-20 17:34:38] minutos=60; filiais=all; count=0
[2025-11-20 17:34:41] minutos=60; filiais=all; count=0
[2025-11-20 17:34:44] minutos=60; filiais=all; count=0
[2025-11-20 17:34:47] minutos=60; filiais=all; count=0
[2025-11-20 17:34:50] minutos=60; filiais=all; count=0
[2025-11-20 17:34:53] minutos=60; filiais=all; count=0
[2025-11-20 17:34:56] minutos=60; filiais=all; count=0
[2025-11-20 17:34:59] minutos=60; filiais=all; count=0
[2025-11-20 17:35:02] minutos=60; filiais=all; count=0
[2025-11-20 17:35:05] minutos=60; filiais=all; count=0
[2025-11-20 17:35:08] minutos=60; filiais=all; count=0
[2025-11-20 17:35:11] minutos=60; filiais=all; count=0
[2025-11-20 17:35:14] minutos=60; filiais=all; count=0
[2025-11-20 17:35:17] minutos=60; filiais=all; count=0
[2025-11-20 17:35:20] minutos=60; filiais=all; count=0
[2025-11-20 17:35:23] minutos=60; filiais=all; count=0
[2025-11-20 17:35:26] minutos=60; filiais=all; count=0
[2025-11-20 17:35:29] minutos=60; filiais=all; count=0
[2025-11-20 17:35:32] minutos=60; filiais=all; count=0
[2025-11-20 17:35:35] minutos=60; filiais=all; count=0
[2025-11-20 17:35:38] minutos=60; filiais=all; count=0
[2025-11-20 17:35:41] minutos=60; filiais=all; count=0
[2025-11-20 17:35:44] minutos=60; filiais=all; count=0
[2025-11-20 17:35:47] minutos=60; filiais=all; count=0
[2025-11-20 17:35:50] minutos=60; filiais=all; count=0
[2025-11-20 17:35:53] minutos=60; filiais=all; count=0
[2025-11-20 17:35:56] minutos=60; filiais=all; count=0
[2025-11-20 17:35:59] minutos=60; filiais=all; count=0
[2025-11-20 17:36:02] minutos=60; filiais=all; count=0
[2025-11-20 17:36:05] minutos=60; filiais=all; count=0
[2025-11-20 17:36:08] minutos=60; filiais=all; count=0
[2025-11-20 17:36:11] minutos=60; filiais=all; count=0
[2025-11-20 17:36:14] minutos=60; filiais=all; count=0
[2025-11-20 17:36:17] minutos=60; filiais=all; count=0
[2025-11-20 17:36:20] minutos=60; filiais=all; count=0
[2025-11-20 17:36:23] minutos=60; filiais=all; count=0
[2025-11-20 17:36:26] minutos=60; filiais=all; count=0
[2025-11-20 17:36:29] minutos=60; filiais=all; count=0
[2025-11-20 17:36:32] minutos=60; filiais=all; count=0
[2025-11-20 17:36:35] minutos=60; filiais=all; count=0
[2025-11-20 17:36:38] minutos=60; filiais=all; count=0
[2025-11-20 17:36:41] minutos=60; filiais=all; count=0
[2025-11-20 17:36:44] minutos=60; filiais=all; count=0
[2025-11-20 17:36:47] minutos=60; filiais=all; count=0
[2025-11-20 17:36:50] minutos=60; filiais=all; count=0
[2025-11-20 17:36:53] minutos=60; filiais=all; count=0
[2025-11-20 17:36:56] minutos=60; filiais=all; count=0
[2025-11-20 17:36:59] minutos=60; filiais=all; count=0
[2025-11-20 17:37:02] minutos=60; filiais=all; count=0
[2025-11-20 17:37:05] minutos=60; filiais=all; count=0
[2025-11-20 17:37:08] minutos=60; filiais=all; count=0
[2025-11-20 17:37:11] minutos=60; filiais=all; count=0
[2025-11-20 17:37:14] minutos=60; filiais=all; count=0
[2025-11-20 17:37:17] minutos=60; filiais=all; count=0
[2025-11-20 17:37:20] minutos=60; filiais=all; count=0
[2025-11-20 17:37:23] minutos=60; filiais=all; count=0
[2025-11-20 17:37:26] minutos=60; filiais=all; count=0
[2025-11-20 17:37:29] minutos=60; filiais=all; count=0
[2025-11-20 17:37:32] minutos=60; filiais=all; count=0
[2025-11-20 17:37:35] minutos=60; filiais=all; count=0
[2025-11-20 17:37:38] minutos=60; filiais=all; count=0
[2025-11-20 17:37:41] minutos=60; filiais=all; count=0
[2025-11-20 17:37:44] minutos=60; filiais=all; count=0
[2025-11-20 17:37:47] minutos=60; filiais=all; count=0
[2025-11-20 17:37:50] minutos=60; filiais=all; count=0
[2025-11-20 17:37:53] minutos=60; filiais=all; count=0
[2025-11-20 17:37:56] minutos=60; filiais=all; count=0
[2025-11-20 17:37:59] minutos=60; filiais=all; count=0
[2025-11-20 17:38:02] minutos=60; filiais=all; count=0
[2025-11-20 17:38:05] minutos=60; filiais=all; count=0
[2025-11-20 17:38:08] minutos=60; filiais=all; count=0
[2025-11-20 17:38:12] minutos=60; filiais=all; count=0
[2025-11-20 17:38:15] minutos=60; filiais=all; count=0
[2025-11-20 17:38:18] minutos=60; filiais=all; count=0
[2025-11-20 17:38:21] minutos=60; filiais=all; count=0
[2025-11-20 17:38:24] minutos=60; filiais=all; count=0
[2025-11-20 17:38:27] minutos=60; filiais=all; count=0
[2025-11-20 17:38:30] minutos=60; filiais=all; count=0
[2025-11-20 17:38:33] minutos=60; filiais=all; count=0
[2025-11-20 17:38:36] minutos=60; filiais=all; count=0
[2025-11-20 17:38:39] minutos=60; filiais=all; count=0
